Tree	Absolute frequency	Relative frequency	Order	Number of nodes	Head node	Example	MDD	NDD	Max depth	N clauses	N T-units	Clauses/T-unit
(Zdravniki >nmod (Vignolo >conj (, <punct Gallenga) >conj (, <punct Fissore) >conj (in <cc Albertotti))) <nsubj so <aux (po <case posvetu) <obl izjavili >ccomp (, <punct da <mark mu <obj ni >nsubj rešitve) >punct .	1	4.6	ABCDEFGHIJKLMNOPQR	18	izjavili	A[Zdravniki] B[Vignolo]C[,] D[Gallenga]E[,] F[Fissore] G[in] H[Albertotti] I[so] J[po] K[posvetu] L[izjavili]M[,] N[da] O[mu] P[ni] Q[rešitve]R[.] 	2.92	1.45	5	2.00	1.00	2.00
(Zdravniška <amod združenja >conj (in <cc farmacevtske <amod družbe)) <nsubj (, <punct pogosto <advmod ob <case podpori >nmod (združenj >amod obolelih) >punct ,) <obl oznanjajo >obl (v <case začetku >nmod (novega <amod stoletja)) >obj (novo <amod zdravilstvo >acl (, <punct (v <case katerem) <obl ni >advmod več >nsubj (prostora >nmod (za <case zdravega <amod človeka)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABC	29	oznanjajo	A[Zdravniška] B[združenja] C[in] D[farmacevtske] E[družbe]F[,] G[pogosto] H[ob] I[podpori] J[združenj] K[obolelih]L[,] M[oznanjajo] N[v] O[začetku] P[novega] Q[stoletja] R[novo] S[zdravilstvo]T[,] U[v] V[katerem] W[ni] X[več] Y[prostora] Z[za] A[zdravega] B[človeka]C[.] 	2.29	2.04	6	2.00	1.00	2.00
(Zdravniškega <amod potrdila) <obj niso <aux predložili >punct .	1	4.6	ABCDE	5	predložili	A[Zdravniškega] B[potrdila] C[niso] D[predložili]E[.] 	1.33	0.95	3	1.00	1.00	1.00
(Zdravstvo >conj (, <punct šolstvo) >conj (, <punct pravo) >conj (, <punct turizem)) <nsubj (( <punct (znotraj <case tega) <obl denimo >nsubj sobodajalstvo >punct )) <parataxis so <cop resnično <advmod stranke >nmod (v <case občinskih <amod svetih) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRST	20	stranke	A[Zdravstvo]B[,] C[šolstvo]D[,] E[pravo]F[,] G[turizem] H[(]I[znotraj] J[tega] K[denimo] L[sobodajalstvo]M[)] N[so] O[resnično] P[stranke] Q[v] R[občinskih] S[svetih]T[.] 	3.38	1.45	4	2.00	2.00	1.00
(Združene <amod države) <nsubj so <aux se <expl Gvatemali <obj uradno <advmod opravičile >obl (za <case izvajanje >nmod (teh <det poskusov)) >punct .	1	4.6	ABCDEFGHIJKL	12	opravičile	A[Združene] B[države] C[so] D[se] E[Gvatemali] F[uradno] G[opravičile] H[za] I[izvajanje] J[teh] K[poskusov]L[.] 	2.20	1.34	4	1.00	1.00	1.00
(Združitev >nmod (za <case kulturno <amod demokracijo) >appos (( <punct RCD >punct ))) <nsubj je <aux bila <cop ustanovljena >obl (leta >nummod 1989) >punct .	1	4.6	ABCDEFGHIJKLM	13	ustanovljena	A[Združitev] B[za] C[kulturno] D[demokracijo] E[(]F[RCD]G[)] H[je] I[bila] J[ustanovljena] K[leta] L[1989]M[.] 	2.78	1.23	4	1.00	1.00	1.00
(Združiti >expl se >obl (pred <case prvim <amod svitom)) <xcomp sta <aux morali >advmod še >parataxis (, <punct drugače <advmod je <aux bitje <nsubj umrlo) >punct .	1	4.6	ACFGHBDEIJKLMN	14	morali	A[Združiti] B[sta] C[se] D[morali] E[še] F[pred] G[prvim] H[svitom]I[,] J[drugače] K[je] L[bitje] M[umrlo]N[.] 	3.00	0.79	4	3.00	2.00	1.50
(Zeleno <amod carstvo) <nsubj bo <cop malo <advmod posodobljeno >conj (, <punct zato <cc se <expl bodo <aux (namesto <case s <case kočijami >nmod (s <case konjsko <amod vprego)) <obl popeljali >obl (s <case starimi <amod avomobili <nmod oldtimerji)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTU	21	posodobljeno	A[Zeleno] B[carstvo] C[bo] D[malo] E[posodobljeno]F[,] G[zato] H[se] I[bodo] J[namesto] K[s] L[kočijami] M[s] N[konjsko] O[vprego] P[popeljali] Q[s] R[starimi] S[avomobili] T[oldtimerji]U[.] 	3.61	0.97	5	2.00	2.00	1.00
(Zelo <advmod dolgo) <advmod ni <aux bilo >nsubj (nobene <det empirične <amod raziskave >acl (, <punct ki <mark bi <aux testirala >obj (teorijo >nmod kulture))) >punct .	1	4.6	ABCDEFGHIJKLMN	14	bilo	A[Zelo] B[dolgo] C[ni] D[bilo] E[nobene] F[empirične] G[raziskave]H[,] I[ki] J[bi] K[testirala] L[teorijo] M[kulture]N[.] 	1.73	1.35	5	2.00	1.00	2.00
(Zelo <advmod dolgo) <advmod se <expl lahko <advmod igra >obl (z <case različnimi <amod ropotuljami >conj (in <cc drugimi <amod igračkami >acl (, <punct ki <mark oddajajo >obj zvoke >conj (in <cc jih <obj lahko <advmod stlači >obl (v <case usta))))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUV	22	igra	A[Zelo] B[dolgo] C[se] D[lahko] E[igra] F[z] G[različnimi] H[ropotuljami] I[in] J[drugimi] K[igračkami]L[,] M[ki] N[oddajajo] O[zvoke] P[in] Q[jih] R[lahko] S[stlači] T[v] U[usta]V[.] 	2.00	1.58	7	3.00	2.00	1.50
(Zelo <advmod lepo) <advmod je >punct .	1	4.6	ABCD	4	je	A[Zelo] B[lepo] C[je]D[.] 	1.00	0.90	3	1.00	1.00	1.00
(Zelo <advmod nizka) <amod številka >obl (po <case eni <nummod strani) >parataxis (, <punct (po <case drugi) <obl pa <advmod (za <case podjetje) <nmod ugodna) >punct .	1	4.6	ABCDEFGHIJKLMN	14	številka	A[Zelo] B[nizka] C[številka] D[po] E[eni] F[strani]G[,] H[po] I[drugi] J[pa] K[za] L[podjetje] M[ugodna]N[.] 	2.55	0.81	4	1.00	1.00	1.00
(Zelo <advmod redek) <amod dogodek >nmod (v <case astronomiji) >advcl (, <punct če <mark gledamo >obl (z <case Zemlje) >punct ,) >cop je >nsubj (prehod >nmod (enega <nummod planeta) >nmod (pred <case drugim) >appos (( <punct okultacija >punct ))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTU	21	dogodek	A[Zelo] B[redek] C[dogodek] D[v] E[astronomiji]F[,] G[če] H[gledamo] I[z] J[Zemlje]K[,] L[je] M[prehod] N[enega] O[planeta] P[pred] Q[drugim] R[(]S[okultacija]T[)]U[.] 	3.13	0.76	4	2.00	1.00	2.00
(Zelo <advmod veliko) <advmod se <expl ukvarjamo >obl (s <case tem >acl (, <punct da <mark so <cop (rezultati >nmod (razvojnega <amod dela)) <nsubj tudi <advmod merljivi)) >punct .	1	4.6	ABCDEFGHIJKLMNO	15	ukvarjamo	A[Zelo] B[veliko] C[se] D[ukvarjamo] E[s] F[tem]G[,] H[da] I[so] J[rezultati] K[razvojnega] L[dela] M[tudi] N[merljivi]O[.] 	2.83	0.89	6	2.00	1.00	2.00
(Zelo <advmod zanimiva) <amod ženska >punct .	1	4.6	ABCD	4	ženska	A[Zelo] B[zanimiva] C[ženska]D[.] 	1.00	0.90	3	1.00	1.00	1.00
(Zemeljska <amod dela >nmod (pri <case dograditvi >nmod (sedanje <amod plastične <amod smučarske <amod skakalnice))) <nsubj so <aux že <advmod stekla >parataxis (- <punct Skakalci <nsubj se <expl bodo <aux pomerili >obl (ob <case rudarskem <amod prazniku))	1	4.6	ABCDEFGHIJKLMNOPQRS	19	stekla	A[Zemeljska] B[dela] C[pri] D[dograditvi] E[sedanje] F[plastične] G[smučarske] H[skakalnice] I[so] J[že] K[stekla] L[-] M[Skakalci] N[se] O[bodo] P[pomerili] Q[ob] R[rudarskem] S[prazniku] 	2.53	1.69	5	2.00	2.00	1.00
(Zgodaj <advmod leta >nummod 2005) <obl je <aux (novi <amod predsednik >nmod (založbe >nmod (Columbia >nmod Records)) >appos (, <punct Steve >flat Greenberg >punct ,)) <nsubj poslušal >obj (Nickov <amod posnetek) >punct .	1	4.6	ABCDEFGHIJKLMNOPQ	17	poslušal	A[Zgodaj] B[leta] C[2005] D[je] E[novi] F[predsednik] G[založbe] H[Columbia] I[Records]J[,] K[Steve] L[Greenberg]M[,] N[poslušal] O[Nickov] P[posnetek]Q[.] 	3.46	1.36	5	1.00	1.00	1.00
(Zgodba >nmod zase) <nsubj so <cop restavracije >amod (, <punct naložene >nmod (na <case cedejih)) >punct .	1	4.6	ABCDEFGHI	9	restavracije	A[Zgodba] B[zase] C[so] D[restavracije]E[,] F[naložene] G[na] H[cedejih]I[.] 	1.67	1.08	4	1.00	1.00	1.00
(Zgodbe >nmod (o <case uspehu >nmod ESS) >punct :) <parataxis (((več >fixed kot) <advmod 70) <nummod zgodb >nmod (o <case uspehu)) <nsubj priča >obl (o <case tem >acl (, <punct kako <advmod so <aux (projekti >nmod ESS) <nsubj izboljšali >obj (delovna <amod življenja >nmod ljudi >nmod (po <case vsej <det Evropi)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZA	27	priča	A[Zgodbe] B[o] C[uspehu] D[ESS]E[:] F[več] G[kot] H[70] I[zgodb] J[o] K[uspehu] L[priča] M[o] N[tem]O[,] P[kako] Q[so] R[projekti] S[ESS] T[izboljšali] U[delovna] V[življenja] W[ljudi] X[po] Y[vsej] Z[Evropi]A[.] 	2.39	1.94	6	2.00	1.00	2.00
(Zgodnji <amod poizkusi >nmod (letenja >nmod (na <case človeški <amod pogon))) <nsubj so <aux bili <cop neuspešni >advcl (, <punct predvsem <advmod (zato >punct , >fixed ker) <mark je <cop težko >csubj ((na <case ta <det način) <obl doseči >obj (visoko <amod stopnjo >nmod (razmerja >nmod (med <case močjo >conj (in <cc težo)))))) >punct .	1	4.6	ABCDEFGHIJKLMNOSPQRTUVWXYZAB	28	neuspešni	A[Zgodnji] B[poizkusi] C[letenja] D[na] E[človeški] F[pogon] G[so] H[bili] I[neuspešni]J[,] K[predvsem] L[zato]M[,] N[ker] O[je] P[na] Q[ta] R[način] S[težko] T[doseči] U[visoko] V[stopnjo] W[razmerja] X[med] Y[močjo] Z[in] A[težo]B[.] 	2.71	1.69	8	3.00	1.00	3.00
(Zgodovina >nmod (poselitve >nmod Gaze)) <nsubj sega >advmod nazaj >obl (5.000 <nummod let) >parataxis (, <punct kar <nsubj pomeni >ccomp (, <punct da <mark je <cop eno >nmod (najstarejših <amod mest >nmod (na <case svetu)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRS	19	sega	A[Zgodovina] B[poselitve] C[Gaze] D[sega] E[nazaj] F[5.000] G[let]H[,] I[kar] J[pomeni]K[,] L[da] M[je] N[eno] O[najstarejših] P[mest] Q[na] R[svetu]S[.] 	2.00	1.35	6	3.00	2.00	1.50
(Zgodovinar >nmod (dr. <nmod Peter >flat Vodopivec)) <nsubj je <aux (z <case nekaj <det manjšimi <amod netočnostmi >nmod (pri <case preverjanju >nmod (posameznih <amod odličij))) <obl opisal >obj (delo >nmod (lože >nmod (Valentin >flat Vodnik))) >conj (, <punct predstavil >obj (znani <amod ljubljanski <amod predpasnik)) >conj (in <cc omenil >obj (odličja >nmod (škotskega <amod reda) >nmod (iz <case časov >nmod ((francosko >conj (- <punct ilirske)) <amod lože))) >parataxis (, <punct kar <nsubj pomeni >ccomp (, <punct da <mark so <aux (nekateri <det slovenski <amod prostozidarji) <nsubj (tudi <advmod doma) <advmod imeli >obj (višje <amod stopnje >appos (, <punct torej <cc večje <amod prostozidarsko <amod znanje >conj (, <punct odgovornost) >conj (in <cc ugled)))))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF	58	opisal	A[Zgodovinar] B[dr.] C[Peter] D[Vodopivec] E[je] F[z] G[nekaj] H[manjšimi] I[netočnostmi] J[pri] K[preverjanju] L[posameznih] M[odličij] N[opisal] O[delo] P[lože] Q[Valentin] R[Vodnik]S[,] T[predstavil] U[znani] V[ljubljanski] W[predpasnik] X[in] Y[omenil] Z[odličja] A[škotskega] B[reda] C[iz] D[časov] E[francosko]F[-]G[ilirske] H[lože]I[,] J[kar] K[pomeni]L[,] M[da] N[so] O[nekateri] P[slovenski] Q[prostozidarji] R[tudi] S[doma] T[imeli] U[višje] V[stopnje]W[,] X[torej] Y[večje] Z[prostozidarsko] A[znanje]B[,] C[odgovornost] D[in] E[ugled]F[.] 	3.06	2.16	8	5.00	4.00	1.25
(Zgodovinarji >nmod (zgodnjega <amod krščanstva)) <nsubj opisujejo >obj (val >nmod odpovedovanja >acl (, <punct ki <mark je <aux (v <case 3. <nummod stoletju) <obl preplavil >obj (rimski <amod imperij >conj (in <cc vzhodno <amod Evropo)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRS	19	opisujejo	A[Zgodovinarji] B[zgodnjega] C[krščanstva] D[opisujejo] E[val] F[odpovedovanja]G[,] H[ki] I[je] J[v] K[3.] L[stoletju] M[preplavil] N[rimski] O[imperij] P[in] Q[vzhodno] R[Evropo]S[.] 	2.38	1.21	6	2.00	1.00	2.00
(Zgodovinsko <amod bitje >nmod orel >punct ,) <nsubj je <aux bilo <cop podvrženo >obj (brezciljnemu <amod procesu >nmod transformacij) >conj (in <cc izgledalo >aux je >advcl (, <punct da <mark je <aux bila <cop razstava <nsubj organizirana >obl (na <case osnovnem <amod vidiku >nmod distanci))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWX	24	podvrženo	A[Zgodovinsko] B[bitje] C[orel]D[,] E[je] F[bilo] G[podvrženo] H[brezciljnemu] I[procesu] J[transformacij] K[in] L[izgledalo] M[je]N[,] O[da] P[je] Q[bila] R[razstava] S[organizirana] T[na] U[osnovnem] V[vidiku] W[distanci]X[.] 	2.25	1.66	5	3.00	2.00	1.50
(Zgolj <advmod kazalec >acl (, <punct koliko <advmod vlagamo >obl (v <case razvoj) >punct ,)) <nsubj danes <advmod ni <cop več <advmod zadosten >punct .	1	4.6	ABCDEFGHIJKLM	13	zadosten	A[Zgolj] B[kazalec]C[,] D[koliko] E[vlagamo] F[v] G[razvoj]H[,] I[danes] J[ni] K[več] L[zadosten]M[.] 	2.67	1.36	5	2.00	1.00	2.00
(Zgoraj <advmod v <case kopalnici) <obl sem <aux se <obj hitro <advmod umila >punct .	1	4.6	ABCDEFGH	8	umila	A[Zgoraj] B[v] C[kopalnici] D[sem] E[se] F[hitro] G[umila]H[.] 	2.17	1.10	3	1.00	1.00	1.00
(Zgradil >obj (nekaj >amod veličastnejšega >nmod (za <case svojo <det hišo >nmod groze)) >punct ,) <ccomp « <punct sem <aux rekel >advcl (, <punct ko <mark sem <aux iskal >obl (med <case gosto <amod podrastjo)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRS	19	rekel	A[Zgradil] B[nekaj] C[veličastnejšega] D[za] E[svojo] F[hišo] G[groze]H[,]I[«] J[sem] K[rekel]L[,] M[ko] N[sem] O[iskal] P[med] Q[gosto] R[podrastjo]S[.] 	2.43	1.63	5	3.00	1.00	3.00
(Zinedine >flat Zidane >conj (, <punct Luis >flat Figo) >conj (in <cc Ronaldo) >appos (, <punct samo <advmod dobitniki >nmod (prestižne <amod nagrade >nmod (svetovni <amod nogometaš >nmod leta)) >punct ,)) <nsubj so <aux prišli >obl (na <case znameniti <amod štadion >nmod Bernabeu) >obl (za <case skupno <advmod (več >fixed kot) <advmod 160 <nummod milijonov >nmod dolarjev) >parataxis (, <punct (Beckhamov <amod prestop) <nsubj pa <advmod bo <aux vsoto <obj dvignil >obl (že <advmod nad <case 200 <nummod milijonov >nmod (ameriških <amod zelencev))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQ	43	prišli	A[Zinedine] B[Zidane]C[,] D[Luis] E[Figo] F[in] G[Ronaldo]H[,] I[samo] J[dobitniki] K[prestižne] L[nagrade] M[svetovni] N[nogometaš] O[leta]P[,] Q[so] R[prišli] S[na] T[znameniti] U[štadion] V[Bernabeu] W[za] X[skupno] Y[več] Z[kot] A[160] B[milijonov] C[dolarjev]D[,] E[Beckhamov] F[prestop] G[pa] H[bo] I[vsoto] J[dvignil] K[že] L[nad] M[200] N[milijonov] O[ameriških] P[zelencev]Q[.] 	3.27	2.07	6	2.00	2.00	1.00
(Zlasti >punct ,) <discourse če <mark vemo >ccomp (, <punct da <mark je <cop (njihov <det delež >nmod (v <case splošnem <amod segmentu >nmod lastnine)) <nsubj majhen) >punct .	1	4.6	ABCDEFGHIJKLMNO	15	vemo	A[Zlasti]B[,] C[če] D[vemo]E[,] F[da] G[je] H[njihov] I[delež] J[v] K[splošnem] L[segmentu] M[lastnine] N[majhen]O[.] 	3.82	0.55	5	2.00	1.00	2.00
(Zlati <amod lev) <nsubj je <cop glavna <amod nagrada >nmod (na <case Beneškem <amod filmskem <amod festivalu) >punct .	1	4.6	ABCDEFGHIJ	10	nagrada	A[Zlati] B[lev] C[je] D[glavna] E[nagrada] F[na] G[Beneškem] H[filmskem] I[festivalu]J[.] 	2.12	1.09	3	1.00	1.00	1.00
(Zmaj >acl (, <punct kot <mark ga <obj poznajo >obl (na <case Kitajskem) >punct ,)) <nsubj je <cop živ >parataxis (, <punct prinaša >obj (rodovitnost >nmod (in <cc zdravje))) >punct .	1	4.6	ABCDEFGHIJKLMNOP	16	živ	A[Zmaj]B[,] C[kot] D[ga] E[poznajo] F[na] G[Kitajskem]H[,] I[je] J[živ]K[,] L[prinaša] M[rodovitnost] N[in] O[zdravje]P[.] 	2.36	1.49	5	3.00	2.00	1.50
(Zmaj >punct ,) <nsubj pravzaprav <advmod pooseblja >obj (ravnotežje >nmod nasprotij) >punct .	1	4.6	ABCDEFG	7	pooseblja	A[Zmaj]B[,] C[pravzaprav] D[pooseblja] E[ravnotežje] F[nasprotij]G[.] 	1.50	0.98	3	1.00	1.00	1.00
(Zmedo >acl (, <punct ki <mark nastane >obl (v <case takih <det primerih) >punct ,)) <obj lahko <advmod bistveno <advmod zmanjšamo >advcl (, <punct če <mark se <expl (tuje <amod jezike) <obj učimo >obl (s <case tem <det programom)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTU	21	zmanjšamo	A[Zmedo]B[,] C[ki] D[nastane] E[v] F[takih] G[primerih]H[,] I[lahko] J[bistveno] K[zmanjšamo]L[,] M[če] N[se] O[tuje] P[jezike] Q[učimo] R[s] S[tem] T[programom]U[.] 	2.75	1.57	5	3.00	1.00	3.00
(Zmletemu <amod mesu) <iobj dodamo >obj ((namočen >conj (, <punct dobro <advmod ožet)) <amod kruh >conj (, <punct slanino) >conj (, <punct jajce) >conj (, <punct (na <case masti) <nmod prepraženo <amod čebulo >nmod (s <case peteršiljem >conj (in <cc česnom))) >conj (ter <cc druge <amod začimbe)) >conj (in <cc vse <obj (zelo <advmod dobro) <advmod ugnetemo) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCD	30	dodamo	A[Zmletemu] B[mesu] C[dodamo] D[namočen]E[,] F[dobro] G[ožet] H[kruh]I[,] J[slanino]K[,] L[jajce]M[,] N[na] O[masti] P[prepraženo] Q[čebulo] R[s] S[peteršiljem] T[in] U[česnom] V[ter] W[druge] X[začimbe] Y[in] Z[vse] A[zelo] B[dobro] C[ugnetemo]D[.] 	3.92	0.77	6	2.00	2.00	1.00
"(Znaku >appos ("" <punct / >punct "")) <obj sledijo >nsubj (imeniki >nmod (na <case poti >nmod (od <case zgornjega <amod nivoja) >nmod (do <case datoteke >acl (, <punct (do <case katere) <obl izdelujemo >obj povezavo)))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRS	19	sledijo	"A[Znaku] B[""]C[/]D[""] E[sledijo] F[imeniki] G[na] H[poti] I[od] J[zgornjega] K[nivoja] L[do] M[datoteke]N[,] O[do] P[katere] Q[izdelujemo] R[povezavo]S[.] "	2.07	1.40	7	2.00	1.00	2.00
(Znamenita <amod konjeniška <amod dirka >nmod (Aintree >nummod 2005) >nmod (v <case bližini >nmod Liverpoola)) <nsubj je <aux (tudi <advmod letos) <advmod postregla >obl (z <case nekaterimi <det nepredvidljivimi <amod naključji) >punct .	1	4.6	ABCDEFGHIJKLMNOPQ	17	postregla	A[Znamenita] B[konjeniška] C[dirka] D[Aintree] E[2005] F[v] G[bližini] H[Liverpoola] I[je] J[tudi] K[letos] L[postregla] M[z] N[nekaterimi] O[nepredvidljivimi] P[naključji]Q[.] 	2.33	1.75	4	1.00	1.00	1.00
(Znani <amod nogometaši >appos (, <punct vključno <advmod s <case srbskim <amod branilcem >nmod (Branislavom >flat Ivanovićem) >conj (in <cc nizozemskim <amod napadalcem >nmod (Dirkom >flat Kuytom)) >punct ,)) <nsubj so <aux se <expl udeležili >obj (dogodkov >nmod (po <case vsem <det svetu)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVW	23	udeležili	A[Znani] B[nogometaši]C[,] D[vključno] E[s] F[srbskim] G[branilcem] H[Branislavom] I[Ivanovićem] J[in] K[nizozemskim] L[napadalcem] M[Dirkom] N[Kuytom]O[,] P[so] Q[se] R[udeležili] S[dogodkov] T[po] U[vsem] V[svetu]W[.] 	2.63	1.95	6	1.00	1.00	1.00
(Znano >cop je >csubj (, <punct da <mark so <aux se <expl vse <nsubj nanašale >obl (na <case dobavo >nmod (za <case daljše <amod časovno <amod obdobje)) >punct ,) >parataxis ((zaradi <case tega) <obl (po <case razveljavitvi >nmod (Elesovega <amod razpisa)) <obl pogodb <obj niso <aux dali >obl (na <case led) >conj (, <punct ampak <cc so <aux jih <obj pustili >advcl mlačne >conj (in <cc (s <case partnerji) <obl ostali >obl (v <case povezavi)))) >punct , >punct «) <ccomp pravi >nsubj Žebeljan >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQ	43	pravi	A[Znano] B[je]C[,] D[da] E[so] F[se] G[vse] H[nanašale] I[na] J[dobavo] K[za] L[daljše] M[časovno] N[obdobje]O[,] P[zaradi] Q[tega] R[po] S[razveljavitvi] T[Elesovega] U[razpisa] V[pogodb] W[niso] X[dali] Y[na] Z[led]A[,] B[ampak] C[so] D[jih] E[pustili] F[mlačne] G[in] H[s] I[partnerji] J[ostali] K[v] L[povezavi]M[,]N[«] O[pravi] P[Žebeljan]Q[.] 	4.03	2.26	7	6.00	4.00	1.50
(Znanstveniki >nmod (agencije >nmod USGS)) <nsubj preučujejo >obj (pokrajino >nmod ZDA >conj (, <punct njene <det naravne <amod vire) >conj (in <cc naravne <amod nevarnosti >acl (, <punct ki <mark jo <obj ogrožajo))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQR	18	preučujejo	A[Znanstveniki] B[agencije] C[USGS] D[preučujejo] E[pokrajino] F[ZDA]G[,] H[njene] I[naravne] J[vire] K[in] L[naravne] M[nevarnosti]N[,] O[ki] P[jo] Q[ogrožajo]R[.] 	2.36	1.16	5	2.00	1.00	2.00
(Znanstveno <amod delo >nmod (Henriette >flat Leavitt) >nmod (na <case Harvardu)) <obj so <aux pogosto <advmod ovirale >nsubj (zdravstvene <amod težave >conj (in <cc družinske <amod obveznosti)) >punct .	1	4.6	ABCDEFGHIJKLMNO	15	ovirale	A[Znanstveno] B[delo] C[Henriette] D[Leavitt] E[na] F[Harvardu] G[so] H[pogosto] I[ovirale] J[zdravstvene] K[težave] L[in] M[družinske] N[obveznosti]O[.] 	2.08	1.65	4	1.00	1.00	1.00
(Značilni <amod vzorec >nmod (trikotnih <amod zob >nmod (morskega <amod psa))) <nsubj je <cop dobro <advmod viden >obl (pri <case posnetku) >advcl (, <punct ko <mark je >nsubj sonce >advmod (že <advmod nizko)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQR	18	viden	A[Značilni] B[vzorec] C[trikotnih] D[zob] E[morskega] F[psa] G[je] H[dobro] I[viden] J[pri] K[posnetku]L[,] M[ko] N[je] O[sonce] P[že] Q[nizko]R[.] 	2.07	1.73	5	2.00	1.00	2.00
(Znižanje >nmod (((že <advmod tako) <advmod nizkih >appos (( <punct 0,5 <nummod odstotka >punct ))) <amod obrestnih <amod mer)) <nsubj je <cop (bolj >conj (ali <cc manj)) <advmod nemogoče >parataxis (, <punct (stimulacijski <amod ukrepi) <nsubj so <cop že <advmod uvedeni) >parataxis (, <punct pa <advmod ni >csubj (rezultatov <obj videti)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVXYWZA	27	nemogoče	A[Znižanje] B[že] C[tako] D[nizkih] E[(]F[0,5] G[odstotka]H[)] I[obrestnih] J[mer] K[je] L[bolj] M[ali] N[manj] O[nemogoče]P[,] Q[stimulacijski] R[ukrepi] S[so] T[že] U[uvedeni]V[,] W[rezultatov] X[pa] Y[ni] Z[videti]A[.] 	3.52	1.62	6	4.00	3.00	1.33
(Znotraj <case (zgoraj <advmod omenjenih) <amod držav) <obl obstaja >nsubj (več <det ((de >fixed facto) <advmod neodvisnih) <amod držav >nmod (z <case omejenim <amod mednarodnim <amod priznanjem >conj (ali <cc brez <case njega))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQR	18	obstaja	A[Znotraj] B[zgoraj] C[omenjenih] D[držav] E[obstaja] F[več] G[de] H[facto] I[neodvisnih] J[držav] K[z] L[omejenim] M[mednarodnim] N[priznanjem] O[ali] P[brez] Q[njega]R[.] 	2.19	1.41	5	1.00	1.00	1.00
(Znotraj <case mestnega <amod obzidja) <obl je <aux živelo >nsubj (do <case 65.000 <nummod ljudi) >punct .	1	4.6	ABCDEFGHI	9	živelo	A[Znotraj] B[mestnega] C[obzidja] D[je] E[živelo] F[do] G[65.000] H[ljudi]I[.] 	1.71	1.24	3	1.00	1.00	1.00
(Zoper <case njiju) <obl so <aux podali >obj (kazensko <amod ovadbo) >parataxis (, <punct nato <advmod pa <advmod vrnili >obl (na <case Hrvaško)) >punct .	1	4.6	ABCDEFGHIJKLM	13	podali	A[Zoper] B[njiju] C[so] D[podali] E[kazensko] F[ovadbo]G[,] H[nato] I[pa] J[vrnili] K[na] L[Hrvaško]M[.] 	1.90	1.20	4	2.00	2.00	1.00
(Zoper <case vse) <obl so <aux napisali >obj (kazensko <amod ovadbo) >iobj (okrožnemu <amod državnemu <amod tožilstvu >nmod (v <case Novem <amod mestu)) >punct .	1	4.6	ABCDEFGHIJKLM	13	napisali	A[Zoper] B[vse] C[so] D[napisali] E[kazensko] F[ovadbo] G[okrožnemu] H[državnemu] I[tožilstvu] J[v] K[Novem] L[mestu]M[.] 	1.91	1.25	4	1.00	1.00	1.00
(Zoran >conj (in <cc Gordana)) <nsubj sta <aux odšla >advmod (kmalu <advmod zatem) >advmod (, <punct rekoč >ccomp (da <mark morata >obl (nazaj <advmod na <case delo))) >punct .	1	4.6	ABCDEFGHIJKLMNO	15	odšla	A[Zoran] B[in] C[Gordana] D[sta] E[odšla] F[kmalu] G[zatem]H[,] I[rekoč] J[da] K[morata] L[nazaj] M[na] N[delo]O[.] 	2.00	1.35	5	2.00	1.00	2.00
(Zraven <case mesta) <obl so >nsubj (ruševine >nmod (srednjeveške <amod trdnjave)) >punct .	1	4.6	ABCDEFG	7	so	A[Zraven] B[mesta] C[so] D[ruševine] E[srednjeveške] F[trdnjave]G[.] 	1.20	1.17	4	1.00	1.00	1.00
(Zraven <case tega) <obl se <expl (tud <advmod tanajhujš <amod maček >nmod (po <case alkoholu)) <nsubj zdi >obl (koker <case pravlca) >punct .	1	4.6	ABCDEFGHIJKL	12	zdi	A[Zraven] B[tega] C[se] D[tud] E[tanajhujš] F[maček] G[po] H[alkoholu] I[zdi] J[koker] K[pravlca]L[.] 	2.60	1.29	4	1.00	1.00	1.00
